office,year,??????,?????,??????,??????,Offer??
Beijing Office,Feb-18,37,1071,62,12,3
Beijing Office,Mar-18,178,3121,297,139,51
Beijing Office,Apr-18,107,2765,174,85,20
Beijing Office,May-18,122,3780,228,101,23
Beijing Office,Jun-18,102,3213,177,98,25
Beijing Office,Jul-18,143,5231,280,125,26
Beijing Office,Aug-18,129,4727,360,154,41
Beijing Office,Sep-18,121,3126,245,107,26
Beijing Office,Oct-18,113,3422,263,115,17
Beijing Office,Nov-18,198,5079,478,189,29
Beijing Office,Dec-18,88,2288,196,80,25
Beijing Office,Jan-19,184,5714,431,151,30
Beijing Office,Feb-19,118,4009,345,133,31
Beijing Office,Mar-19,169,5659,606,194,32
Beijing Office,Apr-19,254,6565,717,260,35
Beijing Office,May-19,187,4573,439,146,27
Beijing Office,Jun-19,166,5122,486,143,30
Beijing Office,Jul-19,213,6567,545,203,41
Beijing Office,Aug-19,217,5610,542,208,40
Beijing Office,Sep-19,217,8227,460,159,26
Beijing Office,Oct-19,182,5236,487,171,26
Beijing Office,Nov-19,195,6231,634,245,48
Beijing Office,Dec-19,164,4282,440,159,31
Beijing Office,Jan-20,179,4614,483,170,31
Beijing Office,Feb-20,400,12378,1460,454,55
Beijing Office,Mar-20,264,9291,874,303,46
Beijing Office,Apr-20,260,8004,833,302,44
Beijing Office,May-20,238,7563,599,229,49
Beijing Office,Jun-20,245,6049,530,204,31
Beijing Office,Jul-20,268,7445,731,258,50
Beijing Office,Aug-20,278,6511,675,249,43
Beijing Office,Sep-20,209,4995,428,158,31
Beijing Office,Oct-20,222,5869,442,152,37
Beijing Office,Nov-20,315,12289,644,258,52
Beijing Office,Dec-20,290,8767,447,180,42
Beijing Office,Jan-21,419,11559,740,276,58
Beijing Office,Feb-21,226,5298,456,198,40
Beijing Office,Mar-21,430,8325,689,295,68
Beijing Office,Apr-21,328,7449,563,224,37
Beijing Office,May-21,318,5057,343,146,23
Chengdu Office,Nov-18,6,420,49,25,0
Chengdu Office,Dec-18,2,5,5,1,0
Chengdu Office,Jan-19,5,78,9,2,0
Chengdu Office,Feb-19,46,730,191,51,19
Chengdu Office,Mar-19,74,1363,290,89,14
Chengdu Office,Apr-19,57,1382,222,47,9
Chengdu Office,May-19,74,1973,338,84,24
Chengdu Office,Jun-19,32,914,149,40,9
Chengdu Office,Jul-19,86,3003,335,118,28
Chengdu Office,Aug-19,81,1709,272,94,14
Chengdu Office,Sep-19,49,1131,137,32,8
Chengdu Office,Oct-19,43,1197,230,97,8
Chengdu Office,Nov-19,49,811,155,64,4
Chengdu Office,Dec-19,47,2483,243,100,19
Chengdu Office,Jan-20,79,2341,225,98,12
Chengdu Office,Feb-20,128,4749,429,133,19
Chengdu Office,Mar-20,129,4273,378,137,12
Chengdu Office,Apr-20,94,2876,231,84,13
Chengdu Office,May-20,119,2859,323,145,8
Chengdu Office,Jun-20,89,2463,230,83,15
Chengdu Office,Jul-20,109,3589,329,128,23
Chengdu Office,Aug-20,80,2722,376,104,26
Chengdu Office,Sep-20,86,1847,252,113,22
Chengdu Office,Oct-20,93,2273,265,107,19
Chengdu Office,Nov-20,116,3398,331,115,22
Chengdu Office,Dec-20,160,3683,399,148,37
Chengdu Office,Jan-21,196,4556,597,242,27
Chengdu Office,Feb-21,157,3510,460,189,32
Chengdu Office,Mar-21,271,5857,686,282,45
Chengdu Office,Apr-21,204,3937,547,226,32
Chengdu Office,May-21,170,2152,262,87,11
Guangzhou Office - A,Feb-18,14,249,35,20,4
Guangzhou Office - A,Mar-18,33,1129,107,52,7
Guangzhou Office - A,Apr-18,26,340,51,31,4
Guangzhou Office - A,May-18,26,645,116,60,8
Guangzhou Office - A,Jun-18,13,360,66,46,2
Guangzhou Office - A,Jul-18,13,269,41,20,4
Guangzhou Office - A,Aug-18,26,455,74,31,3
Guangzhou Office - A,Sep-18,9,374,48,27,2
Guangzhou Office - A,Oct-18,17,548,82,46,1
Guangzhou Office - A,Nov-18,12,246,43,28,1
Guangzhou Office - A,Dec-18,17,345,29,17,4
Guangzhou Office - A,Jan-19,14,219,51,23,4
Guangzhou Office - A,Feb-19,12,299,44,24,1
Guangzhou Office - A,Mar-19,24,659,88,46,4
Guangzhou Office - A,Apr-19,26,1514,94,23,3
Guangzhou Office - A,May-19,27,1071,103,45,2
