Year,GrandPrix,Sector,Team,Driver,Time
2018,Abu-Dhabi,1,Ferrari,S. Vettel,16.681
2018,Abu-Dhabi,1,Ferrari,K. Raikkonen,16.819
2018,Abu-Dhabi,1,Sauber,C. Leclerc,16.891
2018,Abu-Dhabi,1,Mercedes,L. Hamilton,16.893
2018,Abu-Dhabi,1,Haas,R. Grosjean,16.929
2018,Abu-Dhabi,1,Mercedes,V. Bottas,16.995
2018,Abu-Dhabi,1,Sauber,M. Ericsson,17.052
2018,Abu-Dhabi,1,Racing Point,E. Ocon,17.067
2018,Abu-Dhabi,1,Haas,K. Magnussen,17.087
2018,Abu-Dhabi,1,Red Bull,M. Verstappen,17.094
2018,Abu-Dhabi,1,Red Bull,D. Ricciardo,17.127
2018,Abu-Dhabi,1,Renault,N. Hulkenberg,17.179
2018,Abu-Dhabi,1,Racing Point,S. Perez,17.182
2018,Abu-Dhabi,1,McLaren,F. Alonso,17.191
2018,Abu-Dhabi,1,Williams,L. Stroll,17.385
2018,Abu-Dhabi,1,Williams,S. Sirotkin,17.423
2018,Abu-Dhabi,1,McLaren,S. Vandoorne,17.438
2018,Abu-Dhabi,1,Toro Rosso,B. Hartley,17.45
2018,Abu-Dhabi,1,Toro Rosso,P. Gasly,17.459
2018,Abu-Dhabi,2,Mercedes,V. Bottas,40.521
2018,Abu-Dhabi,2,Mercedes,L. Hamilton,40.545
2018,Abu-Dhabi,2,Ferrari,S. Vettel,40.581
2018,Abu-Dhabi,2,Ferrari,K. Raikkonen,40.672
2018,Abu-Dhabi,2,Sauber,C. Leclerc,40.755
2018,Abu-Dhabi,2,Red Bull,M. Verstappen,40.839
2018,Abu-Dhabi,2,Red Bull,D. Ricciardo,40.853
2018,Abu-Dhabi,2,Racing Point,E. Ocon,40.879
2018,Abu-Dhabi,2,Haas,R. Grosjean,40.917
2018,Abu-Dhabi,2,Renault,N. Hulkenberg,41.091
2018,Abu-Dhabi,2,Racing Point,S. Perez,41.18
2018,Abu-Dhabi,2,Sauber,M. Ericsson,41.208
2018,Abu-Dhabi,2,Haas,K. Magnussen,41.298
2018,Abu-Dhabi,2,Toro Rosso,P. Gasly,41.419
2018,Abu-Dhabi,2,McLaren,F. Alonso,41.538
2018,Abu-Dhabi,2,Toro Rosso,B. Hartley,41.589
2018,Abu-Dhabi,2,Williams,S. Sirotkin,41.626
2018,Abu-Dhabi,2,McLaren,S. Vandoorne,41.761
2018,Abu-Dhabi,2,Williams,L. Stroll,41.865
2018,Abu-Dhabi,3,Red Bull,D. Ricciardo,37.263
2018,Abu-Dhabi,3,Mercedes,L. Hamilton,37.356
2018,Abu-Dhabi,3,Mercedes,V. Bottas,37.44
2018,Abu-Dhabi,3,Red Bull,M. Verstappen,37.634
2018,Abu-Dhabi,3,Ferrari,S. Vettel,37.858
2018,Abu-Dhabi,3,Ferrari,K. Raikkonen,37.862
2018,Abu-Dhabi,3,Renault,N. Hulkenberg,38.142
2018,Abu-Dhabi,3,Haas,R. Grosjean,38.174
2018,Abu-Dhabi,3,Sauber,C. Leclerc,38.536
2018,Abu-Dhabi,3,Racing Point,E. Ocon,38.594
2018,Abu-Dhabi,3,Sauber,M. Ericsson,38.869
2018,Abu-Dhabi,3,Racing Point,S. Perez,38.88
2018,Abu-Dhabi,3,Toro Rosso,B. Hartley,38.905
2018,Abu-Dhabi,3,Haas,K. Magnussen,38.924
2018,Abu-Dhabi,3,McLaren,F. Alonso,38.973
2018,Abu-Dhabi,3,Toro Rosso,P. Gasly,39.01
2018,Abu-Dhabi,3,McLaren,S. Vandoorne,39.378
2018,Abu-Dhabi,3,Williams,L. Stroll,39.432
2018,Abu-Dhabi,3,Williams,S. Sirotkin,39.586
2018,Australia,1,Mercedes,L. Hamilton,26.698
2018,Australia,1,Red Bull,M. Verstappen,26.971
2018,Australia,1,Ferrari,K. Raikkonen,26.992
2018,Australia,1,Ferrari,S. Vettel,27.018
2018,Australia,1,Mercedes,V. Bottas,27.169
2018,Australia,1,Red Bull,D. Ricciardo,27.237
2018,Australia,1,Haas,K. Magnussen,27.487
2018,Australia,1,McLaren,F. Alonso,27.489
2018,Australia,1,Renault,N. Hulkenberg,27.521
2018,Australia,1,Haas,R. Grosjean,27.546
2018,Australia,1,McLaren,S. Vandoorne,27.567
2018,Australia,1,Racing Point,S. Perez,27.618
2018,Australia,1,Williams,L. Stroll,27.793
2018,Australia,1,Sauber,M. Ericsson,27.812
2018,Australia,1,Racing Point,E. Ocon,27.865
2018,Australia,1,Williams,S. Sirotkin,27.964
2018,Australia,1,Toro Rosso,B. Hartley,27.993
2018,Australia,1,Toro Rosso,P. Gasly,28.146
2018,Australia,1,Sauber,C. Leclerc,28.153
2018,Australia,2,Mercedes,L. Hamilton,22.066
2018,Australia,2,Ferrari,S. Vettel,22.129
2018,Australia,2,Ferrari,K. Raikkonen,22.204
2018,Australia,2,Red Bull,M. Verstappen,22.241
2018,Australia,2,Mercedes,V. Bottas,22.332
2018,Australia,2,Red Bull,D. Ricciardo,22.448
2018,Australia,2,Haas,K. Magnussen,22.628
2018,Australia,2,Haas,R. Grosjean,22.636
2018,Australia,2,McLaren,F. Alonso,22.647
2018,Australia,2,Renault,N. Hulkenberg,22.653
2018,Australia,2,McLaren,S. Vandoorne,22.741
2018,Australia,2,Williams,L. Stroll,22.771
2018,Australia,2,Racing Point,S. Perez,22.786
2018,Australia,2,Sauber,C. Leclerc,22.901
2018,Australia,2,Racing Point,E. Ocon,22.938
2018,Australia,2,Toro Rosso,B. Hartley,22.942
2018,Australia,2,Sauber,M. Ericsson,22.963
2018,Australia,2,Williams,S. Sirotkin,23.1
2018,Australia,2,Toro Rosso,P. Gasly,23.144
2018,Australia,3,Mercedes,L. Hamilton,32.4
2018,Australia,3,Red Bull,D. Ricciardo,32.464
2018,Australia,3,Red Bull,M. Verstappen,32.563
2018,Australia,3,Mercedes,V. Bottas,32.588
2018,Australia,3,Ferrari,K. Raikkonen,32.632
2018,Australia,3,Ferrari,S. Vettel,32.691
2018,Australia,3,Haas,K. Magnussen,33.065
2018,Australia,3,Haas,R. Grosjean,33.109
2018,Australia,3,Renault,N. Hulkenberg,33.176
2018,Australia,3,McLaren,F. Alonso,33.206
2018,Australia,3,McLaren,S. Vandoorne,33.387
2018,Australia,3,Racing Point,S. Perez,33.518
2018,Australia,3,Racing Point,E. Ocon,33.572
2018,Australia,3,Sauber,C. Leclerc,33.582
2018,Australia,3,Toro Rosso,B. Hartley,33.597
2018,Australia,3,Williams,S. Sirotkin,33.62
2018,Australia,3,Williams,L. Stroll,33.657
2018,Australia,3,Sauber,M. Ericsson,33.704
2018,Australia,3,Toro Rosso,P. Gasly,33.959
2018,Austria,1,Mercedes,V. Bottas,16.018
2018,Austria,1,Mercedes,L. Hamilton,16.025
2018,Austria,1,Ferrari,K. Raikkonen,16.066
2018,Austria,1,Ferrari,S. Vettel,16.163
2018,Austria,1,Red Bull,M. Verstappen,16.2
2018,Austria,1,Racing Point,E. Ocon,16.225
2018,Austria,1,Haas,R. Grosjean,16.239
2018,Austria,1,Haas,K. Magnussen,16.247
2018,Austria,1,Racing Point,S. Perez,16.271
2018,Austria,1,Red Bull,D. Ricciardo,16.316
2018,Austria,1,Renault,N. Hulkenberg,16.319
2018,Austria,1,Sauber,C. Leclerc,16.354
2018,Austria,1,Toro Rosso,P. Gasly,16.403
2018,Austria,1,McLaren,F. Alonso,16.426
2018,Austria,1,Williams,L. Stroll,16.438
2018,Austria,1,Williams,S. Sirotkin,16.484
2018,Austria,1,McLaren,S. Vandoorne,16.515
2018,Austria,1,Toro Rosso,B. Hartley,16.538
2018,Austria,1,Sauber,M. Ericsson,16.565
2018,Austria,2,Ferrari,S. Vettel,27.913
2018,Austria,2,Mercedes,L. Hamilton,28.011
2018,Austria,2,Mercedes,V. Bottas,28.013
2018,Austria,2,Ferrari,K. Raikkonen,28.022
2018,Austria,2,Red Bull,D. Ricciardo,28.137
2018,Austria,2,Red Bull,M. Verstappen,28.182
2018,Austria,2,Haas,R. Grosjean,28.23
2018,Austria,2,Haas,K. Magnussen,28.24
2018,Austria,2,Renault,N. Hulkenberg,28.364
2018,Austria,2,Toro Rosso,P. Gasly,28.552
2018,Austria,2,Sauber,C. Leclerc,28.578
2018,Austria,2,Racing Point,E. Ocon,28.583
2018,Austria,2,McLaren,F. Alonso,28.632
2018,Austria,2,Williams,L. Stroll,28.757
2018,Austria,2,McLaren,S. Vandoorne,28.874
2018,Austria,2,Toro Rosso,B. Hartley,28.904
2018,Austria,2,Racing Point,S. Perez,28.936
2018,Austria,2,Williams,S. Sirotkin,28.971
2018,Austria,2,Sauber,M. Ericsson,29.038
2018,Austria,3,Mercedes,V. Bottas,19.099
2018,Austria,3,Mercedes,L. Hamilton,19.113
2018,Austria,3,Ferrari,S. Vettel,19.336
2018,Austria,3,Haas,R. Grosjean,19.385
2018,Austria,3,Red Bull,M. Verstappen,19.406
2018,Austria,3,Red Bull,D. Ricciardo,19.475
2018,Austria,3,Ferrari,K. Raikkonen,19.554
2018,Austria,3,Haas,K. Magnussen,19.564
2018,Austria,3,Sauber,C. Leclerc,19.779
2018,Austria,3,Toro Rosso,P. Gasly,19.792
2018,Austria,3,Sauber,M. Ericsson,19.805
2018,Austria,3,McLaren,F. Alonso,19.828
2018,Austria,3,Williams,S. Sirotkin,19.828
2018,Austria,3,Renault,N. Hulkenberg,19.85
2018,Austria,3,Toro Rosso,B. Hartley,19.875
2018,Austria,3,Racing Point,E. Ocon,19.878
2018,Austria,3,McLaren,S. Vandoorne,19.882
2018,Austria,3,Williams,L. Stroll,19.912
2018,Austria,3,Racing Point,S. Perez,20.017
2018,Azerbaijan,1,Haas,R. Grosjean,0
2018,Azerbaijan,1,Ferrari,K. Raikkonen,35.283
2018,Azerbaijan,1,Mercedes,L. Hamilton,35.296
2018,Azerbaijan,1,Ferrari,S. Vettel,35.305
2018,Azerbaijan,1,Mercedes,V. Bottas,35.477
2018,Azerbaijan,1,Red Bull,D. Ricciardo,35.629
2018,Azerbaijan,1,Red Bull,M. Verstappen,35.664
2018,Azerbaijan,1,Racing Point,S. Perez,35.708
2018,Azerbaijan,1,Racing Point,E. Ocon,35.74
2018,Azerbaijan,1,Renault,N. Hulkenberg,35.861
2018,Azerbaijan,1,McLaren,F. Alonso,36.133
2018,Azerbaijan,1,Williams,L. Stroll,36.138
2018,Azerbaijan,1,Williams,S. Sirotkin,36.154
2018,Azerbaijan,1,Sauber,C. Leclerc,36.195
2018,Azerbaijan,1,Toro Rosso,P. Gasly,36.279
2018,Azerbaijan,1,Haas,K. Magnussen,36.439
2018,Azerbaijan,1,McLaren,S. Vandoorne,36.634
2018,Azerbaijan,1,Sauber,M. Ericsson,36.679
2018,Azerbaijan,1,Toro Rosso,B. Hartley,36.741
2018,Azerbaijan,2,Ferrari,K. Raikkonen,40.704
2018,Azerbaijan,2,Red Bull,M. Verstappen,40.82
2018,Azerbaijan,2,Red Bull,D. Ricciardo,40.863
2018,Azerbaijan,2,Ferrari,S. Vettel,40.905
2018,Azerbaijan,2,Mercedes,V. Bottas,41.155
2018,Azerbaijan,2,Mercedes,L. Hamilton,41.158
2018,Azerbaijan,2,Racing Point,S. Perez,41.43
2018,Azerbaijan,2,Racing Point,E. Ocon,41.441
2018,Azerbaijan,2,Renault,N. Hulkenberg,41.48
2018,Azerbaijan,2,Williams,L. Stroll,41.571
2018,Azerbaijan,2,McLaren,F. Alonso,41.749
2018,Azerbaijan,2,Sauber,C. Leclerc,41.754
2018,Azerbaijan,2,Williams,S. Sirotkin,41.797
2018,Azerbaijan,2,Haas,K. Magnussen,41.886
2018,Azerbaijan,2,McLaren,S. Vandoorne,42.079
2018,Azerbaijan,2,Toro Rosso,P. Gasly,42.229
2018,Azerbaijan,2,Sauber,M. Ericsson,42.651
2018,Azerbaijan,2,Toro Rosso,B. Hartley,47.863
2018,Azerbaijan,2,Haas,R. Grosjean,55.084
2018,Azerbaijan,3,Racing Point,E. Ocon,25.044
2018,Azerbaijan,3,Mercedes,L. Hamilton,25.091
2018,Azerbaijan,3,Mercedes,V. Bottas,25.183
2018,Azerbaijan,3,Red Bull,D. Ricciardo,25.213
2018,Azerbaijan,3,Ferrari,S. Vettel,25.288
2018,Azerbaijan,3,Red Bull,M. Verstappen,25.293
2018,Azerbaijan,3,Racing Point,S. Perez,25.304
2018,Azerbaijan,3,Haas,K. Magnussen,25.328
2018,Azerbaijan,3,Ferrari,K. Raikkonen,25.426
2018,Azerbaijan,3,Williams,S. Sirotkin,25.427
2018,Azerbaijan,3,Sauber,C. Leclerc,25.577
2018,Azerbaijan,3,Renault,N. Hulkenberg,25.586
2018,Azerbaijan,3,Williams,L. Stroll,25.61
2018,Azerbaijan,3,McLaren,F. Alonso,25.643
2018,Azerbaijan,3,McLaren,S. Vandoorne,25.735
2018,Azerbaijan,3,Toro Rosso,P. Gasly,25.872
2018,Azerbaijan,3,Sauber,M. Ericsson,25.948
2018,Azerbaijan,3,Haas,R. Grosjean,27.562
2018,Azerbaijan,3,Toro Rosso,B. Hartley,27.892
2018,Bahrein,1,Ferrari,S. Vettel,27.989
2018,Bahrein,1,Mercedes,V. Bottas,28.014
2018,Bahrein,1,Ferrari,K. Raikkonen,28.047
2018,Bahrein,1,Mercedes,L. Hamilton,28.081
2018,Bahrein,1,Red Bull,D. Ricciardo,28.275
2018,Bahrein,1,Toro Rosso,P. Gasly,28.413
2018,Bahrein,1,Haas,K. Magnussen,28.447
2018,Bahrein,1,Racing Point,E. Ocon,28.481
2018,Bahrein,1,Racing Point,S. Perez,28.564
2018,Bahrein,1,Renault,N. Hulkenberg,28.582
2018,Bahrein,1,Toro Rosso,B. Hartley,28.681
2018,Bahrein,1,Red Bull,M. Verstappen,28.732
2018,Bahrein,1,Haas,R. Grosjean,28.782
2018,Bahrein,1,McLaren,F. Alonso,28.858
2018,Bahrein,1,Sauber,M. Ericsson,28.878
2018,Bahrein,1,McLaren,S. Vandoorne,28.998
2018,Bahrein,1,Williams,S. Sirotkin,29.056
2018,Bahrein,1,Williams,L. Stroll,29.107
2018,Bahrein,1,Sauber,C. Leclerc,29.127
2018,Bahrein,2,Ferrari,K. Raikkonen,37.859
2018,Bahrein,2,Red Bull,D. Ricciardo,37.877
2018,Bahrein,2,Ferrari,S. Vettel,37.893
2018,Bahrein,2,Mercedes,V. Bottas,37.98
2018,Bahrein,2,Mercedes,L. Hamilton,37.99
2018,Bahrein,2,Renault,N. Hulkenberg,38.362
2018,Bahrein,2,Red Bull,M. Verstappen,38.391
2018,Bahrein,2,Haas,K. Magnussen,38.415
2018,Bahrein,2,Toro Rosso,P. Gasly,38.471
2018,Bahrein,2,McLaren,F. Alonso,38.64
2018,Bahrein,2,Racing Point,E. Ocon,38.691
2018,Bahrein,2,McLaren,S. Vandoorne,38.791
2018,Bahrein,2,Racing Point,S. Perez,38.855
2018,Bahrein,2,Haas,R. Grosjean,38.903
2018,Bahrein,2,Toro Rosso,B. Hartley,38.918
